index,doses_administered_cumulative
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,0
2020-09-09,0
2020-09-10,0
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,0
2020-12-11,0
2020-12-12,0
2020-12-13,0
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,776
2020-12-28,2122
2020-12-29,3816
2020-12-30,5246
2020-12-31,5272
2021-01-01,5293
2021-01-02,5324
2021-01-03,5346
2021-01-04,5499
2021-01-05,7346
2021-01-06,8231
2021-01-07,11565
2021-01-08,24899
2021-01-09,29484
2021-01-10,31760
2021-01-11,37551
2021-01-12,52719
2021-01-13,68991
2021-01-14,86142
2021-01-15,104879
2021-01-16,111825
2021-01-17,117593
2021-01-18,129266
2021-01-19,155737
2021-01-20,179681
2021-01-21,199801
2021-01-22,211528
2021-01-23,214746
2021-01-24,216047
2021-01-25,217627
2021-01-26,226491
2021-01-27,234688
2021-01-28,244824
2021-01-29,260095
2021-01-30,263890
2021-01-31,265355
2021-02-01,270248
2021-02-02,288106
2021-02-03,306726
2021-02-04,327898
2021-02-05,349566
2021-02-06,358861
2021-02-07,363959
2021-02-08,373938
2021-02-09,393936
2021-02-10,416365
2021-02-11,441616
2021-02-12,468920
2021-02-13,479538
2021-02-14,481667
2021-02-15,488950
2021-02-16,503901
2021-02-17,523919
2021-02-18,544201
2021-02-19,565977
2021-02-20,579182
2021-02-21,585298
2021-02-22,592456
2021-02-23,607710
2021-02-24,627970
2021-02-25,648380
2021-02-26,678251
2021-02-27,703667
2021-02-28,713985
2021-03-01,723130
2021-03-02,749192
2021-03-03,777790
2021-03-04,805830
2021-03-05,843660
2021-03-06,872129
2021-03-07,884255
2021-03-08,896174
2021-03-09,925118
2021-03-10,954606
2021-03-11,1000133
2021-03-12,1059696
2021-03-13,1112675
2021-03-14,1144195
2021-03-15,1165703
2021-03-16,1194744
2021-03-17,1229966
2021-03-18,1265438
2021-03-19,1320277
2021-03-20,1368267
2021-03-21,1384079
2021-03-22,1400529
2021-03-23,1437317
2021-03-24,1477988
2021-03-25,1525111
2021-03-26,1577271
2021-03-27,1619443
2021-03-28,1634385
2021-03-29,1661650
2021-03-30,1703876
2021-03-31,1739897
2021-04-01,1782824
2021-04-02,1827785
2021-04-03,1850049
2021-04-04,1860339
2021-04-05,1873237
2021-04-06,1912227
2021-04-07,1969111
2021-04-08,2043495
2021-04-09,2123550
2021-04-10,2190006
2021-04-11,2216466
2021-04-12,2252330
2021-04-13,2298408
2021-04-14,2367583
2021-04-15,2443388
2021-04-16,2515092
2021-04-17,2574111
2021-04-18,2593715
2021-04-19,2626228
2021-04-20,2672632
2021-04-21,2737170
2021-04-22,2809364
2021-04-23,2879009
2021-04-24,2920117
2021-04-25,2948496
2021-04-26,2980144
2021-04-27,3029339
2021-04-28,3088949
2021-04-29,3166622
2021-04-30,3249093
2021-05-01,3291943
2021-05-02,3308992
2021-05-03,3339188
2021-05-04,3401801
2021-05-05,3481463
2021-05-06,3580625
2021-05-07,3691730
2021-05-08,3745327
2021-05-09,3764686
2021-05-10,3809077
2021-05-11,3876680
2021-05-12,3979364
2021-05-13,4014636
2021-05-14,4106905
2021-05-15,4168446
2021-05-16,4193223
2021-05-17,4241785
2021-05-18,4313316
2021-05-19,4421139
2021-05-20,4534579
2021-05-21,4648714
2021-05-22,4709394
2021-05-23,4739590
2021-05-24,4765425
2021-05-25,4821927
2021-05-26,4916777
2021-05-27,5018081
2021-05-28,5130692
2021-05-29,5194564
2021-05-30,5233427
2021-05-31,5278559
2021-06-01,5371458
2021-06-02,5517157
2021-06-03,5587483
2021-06-04,5699551
2021-06-05,5763998
2021-06-06,5818254
2021-06-07,5877351
2021-06-08,5970812
2021-06-09,6090090
2021-06-10,6213742
2021-06-11,6347208
2021-06-12,6418172
2021-06-13,6456521
2021-06-14,6506755
2021-06-15,6594840
2021-06-16,6717230
2021-06-17,6834401
2021-06-18,6949624
2021-06-19,7017891
2021-06-20,7055670
2021-06-21,7109499
2021-06-22,7203058
2021-06-23,7317021
2021-06-24,7428491
2021-06-25,7553058
2021-06-26,7631648
2021-06-27,7673769
2021-06-28,7726193
2021-06-29,7820173
2021-06-30,7936586
2021-07-01,8056037
2021-07-02,8172287
2021-07-03,8244269
2021-07-04,8299708
2021-07-05,8347138
2021-07-06,8431009
2021-07-07,8527122
2021-07-08,8625933
2021-07-09,8717472
2021-07-10,8769853
2021-07-11,8801416
2021-07-12,8838749
2021-07-13,8914962
2021-07-14,8997939
2021-07-15,9063531
2021-07-16,9146385
2021-07-17,9198502
2021-07-18,9227235
2021-07-19,9259883
2021-07-20,9308349
2021-07-21,9376950
2021-07-22,9447632
2021-07-23,9520288
2021-07-24,9572181
2021-07-25,9601020
2021-07-26,9632571
2021-07-27,9687593
2021-07-28,9744996
2021-07-29,9790865
2021-07-30,9847902
2021-07-31,9884195
2021-08-01,9911829
2021-08-02,9940640
2021-08-03,9988145
2021-08-04,10035317
2021-08-05,10076574
2021-08-06,10123898
2021-08-07,10154197
2021-08-08,10179734
2021-08-09,10195722
2021-08-10,10236488
2021-08-11,10276910
2021-08-12,10308315
2021-08-13,10335319
2021-08-14,10354043
2021-08-15,10363423
2021-08-16,10387302
2021-08-17,10412905
2021-08-18,10439099
2021-08-19,10464876
2021-08-20,10491438
2021-08-21,10508483
2021-08-22,10516409
2021-08-23,10525669
2021-08-24,10545684
2021-08-25,10561484
2021-08-26,10583447
2021-08-27,10602877
2021-08-28,10612414
2021-08-29,10615962
2021-08-30,10625632
2021-08-31,10643679
2021-09-01,10658516
2021-09-02,10674683
2021-09-03,10691541
2021-09-04,10706119
2021-09-05,10708476
2021-09-06,10716215
2021-09-07,10732418
2021-09-08,10747680
2021-09-09,10764485
2021-09-10,10784249
2021-09-11,10798294
2021-09-12,10801531
2021-09-13,10810969
2021-09-14,10831094
2021-09-15,10848856
2021-09-16,10868304
2021-09-17,10893362
2021-09-18,10906484
2021-09-19,10910355
2021-09-20,10921011
2021-09-21,10942638
2021-09-22,10964690
2021-09-23,10983810
2021-09-24,11009102
2021-09-25,11021019
2021-09-26,11023700
2021-09-27,11034939
2021-09-28,11054407
2021-09-29,11076241
2021-09-30,11098246
2021-10-01,11123193
2021-10-02,11135531
2021-10-03,11137893
2021-10-04,11151530
2021-10-05,11175744
2021-10-06,11204412
2021-10-07,11229218
2021-10-08,11262492
2021-10-09,11276337
2021-10-10,11278710
2021-10-11,11293090
2021-10-12,11315744
2021-10-13,11343439
2021-10-14,11370187
2021-10-15,11399912
2021-10-16,11411564
2021-10-17,11413613
2021-10-18,11430522
2021-10-19,11455077
2021-10-20,11485851
2021-10-21,11516090
2021-10-22,11551583
2021-10-23,11568046
2021-10-24,11571314
2021-10-25,11587803
2021-10-26,11595828
2021-10-27,11628478
2021-10-28,11658347
2021-10-29,11695200
2021-10-30,11713812
2021-10-31,11717972
2021-11-01,11721951
2021-11-02,11754555
2021-11-03,11801154
2021-11-04,11851750
2021-11-05,11919290
2021-11-06,11961398
2021-11-07,11982361
2021-11-08,12031725
2021-11-09,12103596
2021-11-10,12180075
2021-11-11,12268786
2021-11-12,12374592
2021-11-13,12441701
2021-11-14,12483883
2021-11-15,12556338
2021-11-16,12650919
2021-11-17,12761681
2021-11-18,12884743
2021-11-19,13029858
2021-11-20,13121031
2021-11-21,13178931
2021-11-22,13269709
2021-11-23,13385323
2021-11-24,13519219
2021-11-25,13653973
2021-11-26,13815947
2021-11-27,13919692
2021-11-28,13974397
2021-11-29,14065473
2021-11-30,14177105
2021-12-01,14307862
2021-12-02,14442326
2021-12-03,14601513
2021-12-04,14698302
2021-12-05,14742780
2021-12-06,14833603
2021-12-07,14958132
2021-12-08,15016305
2021-12-09,15137208
2021-12-10,15292670
2021-12-11,15380978
2021-12-12,15420344
2021-12-13,15502893
2021-12-14,15606681
2021-12-15,15726883
2021-12-16,15848406
2021-12-17,15981502
2021-12-18,16060682
2021-12-19,16105033
2021-12-20,16188518
2021-12-21,16275376
2021-12-22,16356182
2021-12-23,16403474
2021-12-24,16410110
2021-12-25,16414414
2021-12-26,16430347
2021-12-27,16486746
2021-12-28,16542336
2021-12-29,16595161
2021-12-30,16633016
2021-12-31,16642192
2022-01-01,16645536
2022-01-02,16664743
2022-01-03,16709308
2022-01-04,16759355
2022-01-05,16815070
2022-01-06,16834445
2022-01-07,16901608
2022-01-08,16945212
2022-01-09,16964196
2022-01-10,17008488
2022-01-11,17063497
2022-01-12,17122341
2022-01-13,17182206
2022-01-14,17251790
2022-01-15,17286602
2022-01-16,17301847
2022-01-17,17338309
2022-01-18,17378431
2022-01-19,17422195
2022-01-20,17464022
2022-01-21,17513195
2022-01-22,17537568
2022-01-23,17547250
2022-01-24,17571259
2022-01-25,17599396
2022-01-26,17630468
2022-01-27,17663458
2022-01-28,17705353
2022-01-29,17732658
2022-01-30,17747603
2022-01-31,17779385
2022-02-01,17817088
2022-02-02,17852810
2022-02-03,17884259
2022-02-04,17919929
2022-02-05,17940683
2022-02-06,17950040
2022-02-07,17968783
2022-02-08,17987701
2022-02-09,18006161
2022-02-10,18023146
2022-02-11,18042496
2022-02-12,18052286
2022-02-13,18056236
2022-02-14,18065712
2022-02-15,18077126
2022-02-16,18088136
2022-02-17,18097578
2022-02-18,18108553
2022-02-19,18114383
2022-02-20,18116950
2022-02-21,18123205
2022-02-22,18130385
2022-02-23,18137177
2022-02-24,18144479
2022-02-25,18152393
2022-02-26,18157315
2022-02-27,18159600
2022-02-28,18165629
2022-03-01,18170657
2022-03-02,18176772
2022-03-03,18183204
2022-03-04,18190574
2022-03-05,18194532
2022-03-06,18195791
2022-03-07,18199885
2022-03-08,18204511
2022-03-09,18209614
2022-03-10,18214241
2022-03-11,18220157
2022-03-12,18223223
2022-03-13,18224277
2022-03-14,18227588
2022-03-15,18231306
2022-03-16,18235488
2022-03-17,18239616
2022-03-18,18244712
2022-03-19,18247570
2022-03-20,18248338
2022-03-21,18251606
2022-03-22,18255184
2022-03-23,18259702
2022-03-24,18264006
2022-03-25,18269575
2022-03-26,18272688
2022-03-27,18273462
2022-03-28,18276713
2022-03-29,18280177
2022-03-30,18284714
2022-03-31,18289370
2022-04-01,18294198
2022-04-02,18296321
2022-04-03,18296886
2022-04-04,18299450
2022-04-05,18303073
2022-04-06,18307047
2022-04-07,18311196
2022-04-08,18316501
2022-04-09,18318620
2022-04-10,18319177
2022-04-11,18321609
2022-04-12,18325380
2022-04-13,18329576
2022-04-14,18333271
2022-04-15,18336849
2022-04-16,18338178
2022-04-17,18338483
2022-04-18,18338882
2022-04-19,18342240
2022-04-20,18347006
2022-04-21,18351217
2022-04-22,18357699
2022-04-23,18359610
2022-04-24,18360014
2022-04-25,18362886
2022-04-26,18367378
2022-04-27,18372914
2022-04-28,18377567
2022-04-29,18383888
2022-04-30,18385853
2022-05-01,18386272
2022-05-02,18389333
2022-05-03,18393278
2022-05-04,18398456
2022-05-05,18403150
2022-05-06,18410382
2022-05-07,18412329
2022-05-08,18412779
2022-05-09,18415678
2022-05-10,18420130
2022-05-11,18425496
2022-05-12,18430949
2022-05-13,18437693
2022-05-14,18439634
2022-05-15,18440074
2022-05-16,18442783
2022-05-17,18447578
2022-05-18,18453047
2022-05-19,18458226
2022-05-20,18464337
2022-05-21,18466052
2022-05-22,18466406
2022-05-23,18469247
2022-05-24,18473290
2022-05-25,18478160
2022-05-26,18478907
2022-05-27,18482613
2022-05-28,18483903
2022-05-29,18484181
2022-05-30,18486715
2022-05-31,18490399
2022-06-01,18495009
2022-06-02,18499949
2022-06-03,18504743
2022-06-04,18505683
2022-06-05,18505910
2022-06-06,18506248
2022-06-07,18509688
2022-06-08,18514004
2022-06-09,18518787
2022-06-10,18524487
2022-06-11,18525836
2022-06-12,18526157
2022-06-13,18529323
2022-06-14,18534373
2022-06-15,18539584
2022-06-16,18540594
2022-06-17,18546034
2022-06-18,18547272
2022-06-19,18547641
2022-06-20,18550768
2022-06-21,18556926
2022-06-22,18563675
2022-06-23,18571260
2022-06-24,18579346
2022-06-25,18581530
2022-06-26,18582493
2022-06-27,18587802
2022-06-28,18596515
2022-06-29,18606171
2022-06-30,18616405
2022-07-01,18628315
2022-07-02,18631933
2022-07-03,18633029
2022-07-04,18639555
2022-07-05,18650446
2022-07-06,18664972
2022-07-07,18678973
2022-07-08,18694941
2022-07-09,18699067
2022-07-10,18699973
2022-07-11,18707643
2022-07-12,18721013
2022-07-13,18736296
2022-07-14,18750297
2022-07-15,18766478
2022-07-16,18771113
2022-07-17,18771802
2022-07-18,18779457
2022-07-19,18790997
2022-07-20,18803457
2022-07-21,18815088
2022-07-22,18827332
2022-07-23,18831257
2022-07-24,18831811
2022-07-25,18838036
2022-07-26,18847235
2022-07-27,18858833
2022-07-28,18869024
2022-07-29,18879763
2022-07-30,18883347
2022-07-31,18883813
2022-08-01,18888978
2022-08-02,18896343
2022-08-03,18905537
2022-08-04,18913909
2022-08-05,18921212
2022-08-06,18924800
2022-08-07,18925565
2022-08-08,18930414
2022-08-09,18937876
2022-08-10,18946829
2022-08-11,18955604
2022-08-12,18964058
2022-08-13,18966328
2022-08-14,18966740
2022-08-15,18967210
2022-08-16,18974854
2022-08-17,18983671
2022-08-18,18993627
2022-08-19,19003942
2022-08-20,19006718
2022-08-21,19007144
2022-08-22,19012546
2022-08-23,19021668
2022-08-24,19031406
2022-08-25,19040240
2022-08-26,19049210
2022-08-27,19053149
2022-08-28,19054449
2022-08-29,19059636
2022-08-30,19067656
2022-08-31,19077838
2022-09-01,19089897
2022-09-02,19104142
2022-09-03,19108796
2022-09-04,19109751
2022-09-05,19116081
2022-09-06,19127798
2022-09-07,19140365
2022-09-08,19153652
2022-09-09,19167200
2022-09-10,19171303
2022-09-11,19172310
2022-09-12,19178344
2022-09-13,19188318
2022-09-14,19199821
2022-09-15,19210389
2022-09-16,19222979
2022-09-17,19228066
2022-09-18,19229155
2022-09-19,19235448
2022-09-20,19246524
2022-09-21,19257857
2022-09-22,19268314
2022-09-23,19279148
2022-09-24,19284581
2022-09-25,19285329
2022-09-26,19291121
2022-09-27,19302818
2022-09-28,19319311
2022-09-29,19335802
2022-09-30,19360700
2022-10-01,19370451
2022-10-02,19372057
2022-10-03,19382308
2022-10-04,19401354
2022-10-05,19422718
2022-10-06,19444145
2022-10-07,19472624
2022-10-08,19482319
2022-10-09,19484014
2022-10-10,19497268
2022-10-11,19518604
2022-10-12,19541623
2022-10-13,19564858
2022-10-14,19594187
2022-10-15,19604984
2022-10-16,19606398
2022-10-17,19619513
2022-10-18,19639779
2022-10-19,19664083
2022-10-20,19688250
2022-10-21,19715290
2022-10-22,19724814
2022-10-23,19725964
2022-10-24,19738203
2022-10-25,19755818
2022-10-26,19759206
2022-10-27,19772922
2022-10-28,19790777
2022-10-29,19797332
2022-10-30,19798143
2022-10-31,19804300
2022-11-01,19806465
2022-11-02,19820878
2022-11-03,19839508
2022-11-04,19861741
2022-11-05,19869058
2022-11-06,19870104
2022-11-07,19880155
2022-11-08,19896410
2022-11-09,19913386
2022-11-10,19930392
